,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals Against,Shots on Target Against,Saves,Save%,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,PSxG,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch%,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
59,a92ab7be,Mark Flekken,Freiburg,Bundesliga,194,86,Goalkeeper,Right,,28.53,Mark Flekken - 28.53 - Freiburg,1.1,4.6,3.7,79.3,0.45,0.3,0.25,0.3,30.0,0.2,0.15,0.0,0.05,0.0,0.05,0.1,0.05,1.32,0.26,0.27,9.75,22.2,43.9,33.1,4.0,47.7,42.8,8.15,78.5,63.9,9.3,0.6,6.5,0.65,14.8
60,86314793,Marius Funk,Greuther Fürth,Bundesliga,187,88,Goalkeeper,Right,,25.98,Marius Funk - 25.98 - Greuther Fürth,3.75,6.5,3.25,46.2,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.25,3.1,0.45,-0.4,8.75,24.13,36.3,36.63,3.5,49.5,42.1,8.63,69.6,53.8,6.38,0.38,5.9,1.5,17.0
61,17376543,Rafał Gikiewicz,Augsburg,Bundesliga,190,81,Goalkeeper,Right,,34.17,Rafał Gikiewicz - 34.17 - Augsburg,1.61,4.66,3.24,68.9,0.26,0.21,0.53,0.24,23.7,0.26,0.16,0.05,0.05,25.0,0.0,0.16,0.11,1.46,0.28,-0.04,7.53,19.42,38.8,29.13,5.21,47.2,39.9,8.42,67.2,50.8,10.47,0.68,6.5,0.87,14.7
62,bcb2ccd8,Péter Gulácsi,RB Leipzig,Bundesliga,191,75,Goalkeeper,Right,Hungary,31.63,Péter Gulácsi - 31.63 - RB Leipzig,1.35,3.09,1.88,62.4,0.42,0.21,0.37,0.28,27.9,0.21,0.19,0.0,0.02,0.0,0.0,0.21,0.02,1.25,0.36,-0.08,4.47,10.07,44.3,30.23,4.88,29.2,32.0,5.0,25.1,29.5,5.84,0.28,4.8,1.44,18.2
63,2e7ff968,Marwin Hitz,Dortmund,Bundesliga,191,89,Goalkeeper,Right,Switzerland,34.27,Marwin Hitz - 34.27 - Dortmund,1.47,3.47,2.21,65.2,0.53,0.16,0.32,0.26,26.3,0.26,0.26,0.0,0.0,0.0,0.0,0.16,0.05,1.39,0.33,-0.03,5.16,11.16,46.2,27.16,4.16,27.9,32.3,7.89,45.3,40.2,7.68,0.53,6.8,0.37,13.4
64,3cd9e95a,Timo Horn,Köln,Bundesliga,192,76,Goalkeeper,Left,Germany,28.62,Timo Horn - 28.62 - Köln,1.82,4.39,2.7,60.7,0.27,0.3,0.42,0.09,9.1,0.09,0.09,0.0,0.0,0.0,0.0,0.24,0.03,1.58,0.35,-0.2,6.91,14.97,46.2,32.64,3.61,38.6,36.7,6.18,38.2,36.8,7.58,0.27,3.6,0.79,15.0
65,ad3389d5,Lukáš Hrádecký,Leverkusen,Bundesliga,187,75,Goalkeeper,Right,Finland,32.09,Lukáš Hrádecký - 32.09 - Leverkusen,1.31,4.37,3.2,72.6,0.45,0.27,0.29,0.24,23.7,0.16,0.11,0.03,0.03,20.0,0.05,0.11,0.03,1.25,0.27,-0.03,6.59,15.89,41.4,36.69,6.45,34.9,34.4,7.12,43.4,39.0,8.11,0.72,8.9,0.83,15.1
66,cd59b9df,Gregor Kobel,Dortmund,Bundesliga,194,88,Goalkeeper,Right,Switzerland,24.06,Gregor Kobel - 24.06 - Dortmund,1.61,4.34,2.89,66.1,0.51,0.1,0.41,0.19,19.0,0.22,0.14,0.05,0.02,25.0,0.02,0.12,0.07,1.48,0.3,-0.07,3.9,9.61,40.6,28.31,4.92,26.6,30.0,7.33,28.6,30.7,7.33,0.75,10.2,0.63,14.1
67,7fe12375,Andreas Luthe,Union Berlin,Bundesliga,195,90,Goalkeeper,Right,,34.79,Andreas Luthe - 34.79 - Union Berlin,1.29,3.86,2.7,70.1,0.37,0.35,0.29,0.26,25.7,0.17,0.14,0.03,0.0,16.7,0.0,0.14,0.06,1.3,0.31,0.07,6.85,17.46,39.2,30.7,4.0,42.0,38.0,7.94,57.6,43.0,8.43,0.75,8.9,0.58,14.1
68,cbac6ec9,Florian Müller,Stuttgart,Bundesliga,192,82,Goalkeeper,Left,Germany,24.12,Florian Müller - 24.12 - Stuttgart,1.52,5.29,3.84,72.0,0.35,0.19,0.45,0.19,19.4,0.06,0.03,0.03,0.0,50.0,0.03,0.13,0.06,1.52,0.29,0.07,5.29,15.13,35.0,32.48,5.45,32.2,33.8,8.65,54.1,45.6,8.87,0.52,5.8,0.81,14.4
